Text,Cluster,Total
alzheimers disease disorder cure treatment drugs stages development disease diagnosis disease significance efficiency treatment provision conducting tests paper caregiver application initiative clock drawing test cdt devices administration test fun environment caregiver suggestions users help treatment score computer feedback clock drawings cdt step step gamification caregiver healthcare people access faculties users data caregiver insight progression impairment interface users application results test caregiver inputs test combination classification models time test diagnosis authors license nature switzerland,0,25
attention deficit hyperactivity disorder adhd childhood disorders children diagnose adhd number impacts childrens approaches children test paper assessment tool adhd children conners parent form assessment reports phase time adhd statements scenarios scenarios confirmation minigame design phase design model design approach ucd children like implementation phase steps development debugging game design calibration phase phase machine learning technique data log file diagnosis model phase test phase game diagnosis accuracy springer nature switzerland,0,25
behavior crash risk realtime problem years invehicle interventions gamification features posttrip dashboards connection behavior prediction triggering interventions focus european horizon2020 project idreams testing safety tolerance zone stz order drivers behaviors interventions realtime posttrip conceptualization stz levels task data class imbalance process project principles challenges consideration paper framework level driving behavior duration time risk level car drivers aim classification algorithms vector machines forest rfs adaboost multilayer perceptron mlp networks technique adasyn order distribution dataset stz levels approach risk prediction regression lasso net time duration results mlp rest classifiers accuracy speed vehicle interval predictor time safety level authors,0,25
dyslexia learning disorder influence learning success children detection dyslexia foundation intervention key effects dyslexia school grades paper prototype puzzle app design hcd process dyslexia screening prereader indicators motor skills users data collection machine learning prediction app telemetry gaming sequence order statements prevalence dyslexia telemetry data highfidelity prototype test usability study childparent results children parents games applications web technologies experiments usability prototype target group limitations acm,0,25
psychometrics data skills recognition means personnel selection companies interest data machine learning employee behavior aim selection strategies reactions resources population tools person job approach judgment tests results behavior assessment situation judgment test approach advantages gamification work field area research approach reliability validity judgment tests scoring system psychometrics approach scoring system judgment test bank managers skills ieee,0,25
prevalence alzheimertype dementia limitations tests introduction assessment methods validation ehealth application detection impairment intelligence classification machine algorithms discrimination power application pilot study subjects health control subjects age years individuals impairment mean age years earlystage alzheimers patients age years study sessions november january participants study concerns acceptability test analysis sociodemographics game data prediction participants status machine algorithms performance metrics classification results perceptron classifier support vector machines forest recall values thanks hyperparameter optimization rates shapleys planning shap xai method importance features classification step use machine learning gamification impairment addition tool selfadministration aspect situations access health professionals research patterns damage data authors,0,25
spread blackbox machine learning models behavior research field objective system human beneficiary model research explainability problem crowds point view users researchers crowdsourcing framework crowds understanding blackbox models quality content users set activities crowdsourcing framework expcrowd users activities researchers knowledge users design game purpose gwap features realworld entities explainability purposes works design framework needs copyright tocchetti corti brambilla celino,0,25
caption image nature caption quality caption problem imagecaption ratings quality datasets feedback gamification datasets level interrater agreement custom machine learning models ratings approach metrics datasets quality datasets imagecaption rating ownerauthor,0,25
thinking future covid19 pandemic demand education means sustainability protection health mind technocrats problems idea learning study research aim correlation thinking competency achievements study course school years end research study assessment framework adoption cluster sampling sample students exploitation regression analysis machine method correlation fields levels factor performance study course vice results idea consciousness base studies reflection activities authors,0,25
dysgraphia disability production expectations diagnosis completion handwriting development training program abilities handwriting perception role perception handwriting skills perception tests eye tracker difficulty levels children risk dysgraphia means handwriting speed test machine learning models child risk catboost algorithm crossvalidation combinations game performance data predictors total children study machine learning models results game performances predictors score train test shap explainer features game usability score results tool dysgraphia screening perception skills authors,0,25
gamification machine learning technologies recruitment user experience fairness assessments game assessment ability machine scoring algorithm validity fairness data assessment completions assessment convergent validity reliability fairness sample job applicants machine learning outcome parity issues ability tests recruitment settings gender differences test anxiety games anxiety game performance notion game assessments help test anxiety interactions anxiety gender performance feedback job applicants promoter score applicants support assessment games applicant experience practise satisfaction format applicants validity concerns games use gamification machine fairness user experience tests copyright codreanu brink bitsakis,0,25
background people impairments range symptoms memory perception difficulty problems alzheimers disease detection impairment mci role management patients decline function treatments stage disease course purpose computer technologies tool detection prediction disease progression article game minigames mci stage gamification techniques machine limitations tests tool alzcogame domains indicators impairments memory memory executive functions orientation concentration attention results models alzcogame dataset kfold crossvalidation classification metrics models performance results pilot study performance classifier sensitivity specificity accuracy f1score roc machine techniques games aspects diagnosis impairment trials impact program skills usability measures authors,0,25
devices data form factor devices users authentication authentication methods devices user information risk paper use approach authentication functions manner users wit games uses devices irb study participants games touchscreen gameplay features users activity interactions support vector machine users patterns usage game results gameplay biometric means users devices care game users gestures icst institute computer sciences informatics telecommunications engineering,0,25
children dyslexia school dyslexia intelligence work approach screening dyslexia machine learning models data game game content consideration analysis mistakes people dyslexia languages parameters perception perception user study children dyslexia machine learning models data method accuracy german f1score german forests trees knowledge time risk dyslexia content game screening content screening prereaders language skills intervention acm,0,25
paper way brain development children gamification machine learning gamification technologies population demand methods rate decline application brain development children application child evaluation phase level skills child milestones age category evaluation phase results evaluation phase machine model brain games kmeans algorithm model learning algorithm dataset results game category evaluation phase data preprocessing dataset period data series steps dataset dataset training dataset test accuracy model times test data model accuracy model training model accuracy child training skills brain development gamification games unity game permission copies work classroom use fee copies profit advantage copies notice citation page copyrights components work acm credit servers lists permission fee engine system report notifies parents childs statistics paper procedure model development model training model testing development brain games details results research work works sections association computing machinery,0,25
children future world future adults obstacles challenges lifetime children types children society examples children needs children children needs attention children kinds children needs types development disabilities children maturity level autism disorders etc system children maturity level stepup system combination modules goal kinds children gamification image processing machine learning computer interaction module children children gamification modules children maturity level kinds children gamification hci technologies reality module protocol data system database goal stepup system children maturity level children ieee,0,25
years development app internet mode life development society trend gamification gamification life competition activities idea realization society trend gamification strategy game ecology mining time data mining attributes smurf subsidiary features score attribute machine learning smurf game smurf game ecology players game experience paper operation strategies players stages clustering society smurf citizens order types players pyramid structure classes measures game references construction society,0,25
importance trading market volume euros clothing increase parcel volume number goodswhich deliveriesposes challenges light climate change air pollution traffic management ehi retail institute kristensen initiatives electrification delivery cars provision collection points lever behaviour approaches scope action customers shopping experience thinkfirst project framework terms levelup web shops help gamification strategies design principles machine learning users test shop manner goods order impact framework field test changes interest knowledge shopping choices reduction parcels test shop qualitative expert interviews retailers thinkfirst strategies shops account competition efforts customers retrospect framework step ecommerce sector level authors rights,0,25
developers systems level deployment trust systems kind concept capability industries world premise attention resource allocation systems behaviors expectations techniques highfidelity simulators models logic situations trust ability behalf work guidelines efforts techniques highfidelity simulation expectations systems humans robotics cybersecurity domains editors authors license nature switzerland,0,25
work gamification applications evidence literature development health applications account users order game elements solution cases use gamification purpose application health inefficiency use gamification strategy problem paper framework framework method concepts practices terms dimensions selfcare gamification health application developer application context gamification experiments ways user experience test player experiment machine learning user player profile aspects gamification cycle framework evaluation method questionnaire interview experts results framework developers health applications user engagement ieee,3,59
assessment method impairment individuals diseases alzheimers disease assessment patients engagement inaccuracies results paper issue approach assessment prototype wackamole game ability players svr machine learning model model inputs participants game reaction times ingame scores heart rate ieee,3,59
machine algorithms set examples labelling process time task experts domain dataset means process objects dataset paper set experiments gamification techniques labelling task learning process users order goal end interpretation naïve bayes classifiers order visualization state system user parameters game visualization technique classification newswire results experiments groups people phd students master degree students public experiment query reviews scenario use gamification techniques formulation query experiments exploitation gamification approaches users tasks andor boring world web conference committee commons license,3,59
personalization trend gamification research researchers systems characteristics account designs effort system interactions user workload machine learning algorithm content selection problem process designs implementation process deterdings framework design lens skill atoms steps personalization strategy algorithm creation process gamification learning environment demonstration gamification user type hexad personalization heuristics design gamification design result design process contextaware gamification environments method gamification classifier algorithm cn2 rule inducer authors,3,59
development intelligence computer vision learning input amounts data objects training data creation highquality training data gamification use game elements context method tasks multistep process creation training data machine learning purposes article overview concepts implementations approach reallife use case survey target user group annotation cases player characteristics results foundation gamification concepts participants concept levels difficulty tutorials indicators narrative robot character time user assistant prototype extension annotation tool product company basis observations walter gruyter gmbh berlinboston,3,59
study usage acceptability usability usefulness satisfaction activity intervention adults methods adults years intervention intervention control group months intervention groups access sessions advice website delivery method intervention groups google analytics telephone surveys post intervention months intervention usage acceptability usability usefulness satisfaction process data statistics content analysis results adults postintervention survey retention usage website respect number website intervention sessions action plans visits visits groups betweengroup majority participants groups website weeks control acceptability groups instances intervention groups control group usability mean systems usability scores control betweengroup differences usefulness intervention intervention groups control group satisfaction website participants intervention groups ease use feedback tracking progress action plans questions session conclusion advice video text retention usage usefulness satisfaction intervention strategies incorporation intervention components activity interactions gamification use intelligence machine technologies dialogue participants,3,59
development intelligence computer vision learning input amounts data objects training data creation highquality training data gamification use game elements context method tasks paper multistep process creation training data machine learning purposes approach results user study target group employees software development company annotation use cases users player concept levels difficulty tutorials indicators narrative robot character time user assistant prototype extension companys annotation tool basis observations acm,3,59
health clinic challenges rehabilitation therapy impairment brain injury dementia decline rehabilitation therapy way problem patient cost environments task generator tool generation training tasks progress patient brant project enhancement belief revision machine techniques gamification monitoring capabilities health professionals longterm rehabilitation therapy home brant effort limitations practices solutions sustainability health systems improvement quality life patients paper airehab framework brant challenge situation data solutions data scitepress science technology publications rights,3,59
transcription largescale document images task machine techniques learning transcription word examples training linebyline word transcription paper gamification strategy occurrences word user interface work approach transcription users document collection copyright ownerauthors,3,59
reality reality potential learning environments courses costefficient manner costs resources costs fromvrar applications resources advantages learning process learning methods reality procedures scale degrees virtualization work framework creation experiences training proposes environment gamification elements user learningtraining process process gamification adaptation environment applications tasks approach advantage forms interactions guidance blend environments regard gamification application elements interaction twins aids learning application article scenarios application reality reality machine learning games scenarios interaction design rights,3,59
world population increases need food monoculture farms agrochemicals increase possibility theft misuse damage piracy products health problems article issues agrochemical traceability model aptm machine sensors microcontrollers gamification blockchains dimensions study product piracy agrochemical control dimension application set sensors data modeling implementation system machine behavior use agrochemicals development scoring system gamification use agrochemicals record transactions consortium blockchains advantage model results model aspects agrochemical handling disposal recording transactions data visualization supply chain study trip time data transfers layer persistence database blockchain nodes cpu transactions results horizon applicability situations farms authors mdpi basel switzerland,3,59
system childrens game litte user game user object scene system singlesentence clue trial system target approach bottomup machine object color detection speech recognition language database eye tracking reality evaluation performance chance level results machine components participants levels satisfaction curiosity system data guessing game data capabilities challenges system components respect attention acm,3,59
space industry technology need knowledge management solutions information manner inboxes repositories brains coworkers time gathering retrieval information knowledge center machine learning approach problem knowledge interest era technologies data repository machine networking elements gamification activity etc information information means decision core benefit capital organization dlrsart,3,59
learning approach quality diagnoses cost datasets machine learning methods image annotation activity dermatologists quality annotation physician experience number cases annotations features contours intersections shapes processes lesion segmentation classification agents paper design multimedia platform annotation process images domain dermatology gamification games purpose gwap strategies order engagement production datasets sharing evaluation attention design choices theories assumptions implementation details association computing machinery,3,59
paper methodology limb motion data motion control assessment platform game environment approach patients movement hindrances disorders leap motion controller interaction game avatar axis paths avatar movement users movements rehabilitation order method training assessment patients approach motion patient assessment game scores data analysis discrimination movement machine learning approach quantification patients time purpose movement features leap sensor recordings value state progress detail dataset recordings patients individuals purpose patients disorders features value groups set classifiers sets movements horizontal vertical patient creation procedure validation models accuracy results quantification patients copyright scitepress science technology publications rights,3,59
gamification users participation education research projects citizen science paradigm ray observatory credo experiment largescale study radiation forms earth space rays credo detector app network users phones cmos devices user base users credo gamification solutions particle hunters competition effect gamification number artefacts signals ray detection artefacts credo database method machine approach network cnn difference signals artefacts result trigger signal artefact assignments annotators method input image signal daubechies wavelets study wavelet image features result recognition ratio signal solution supervision competition process authors mdpi basel switzerland,3,59
developments humancomputer interaction technologies attention gamification techniques game elements nongaming context advancement machine methods potential technologies inception era gamification direction literature review order literature field convergence technologies influence benefits results study usage confluence learning activities gamification users efforts gamification context gamification tasks data collection machine learning gamification technology teaching machine help gamification benefits challenges research endeavors authors,3,59
dutch energy suppliers consumption energy saving behaviours customers strategy context gamification energy saving application preferences context energy supplier gamification application method knutas parts machine evaluation phase customization users alternative machine personalization strategies design process use case user types customer base energy supplier design application feedback stakeholders customers interviews groups designs energy behaviour customers design dashboard personalization elements energy editor users characteristics households effects actions energy consumption designs prototype interviews value study hexad framework gamification user types motivations target group results mechanics user types motivation strategy personalization design personalization design strategy designs situation energy behaviour users dechema rights,3,59
project proposal face levels desertion education latent citizen competencies context development platform information learning management systems didactics tool gamification principles teaching learning process subject citizen competencies document methodology design tool methodology design information collection tools characteristics users motivations data game findings users impact interface content relationship reallife situations work commons license byncnd,3,59
solution user engagement applications gamification design personalisation user types behaviour novel approach study machine analysis clusters users fitness application data clusters user typologies gamification relationships user clusters user types achievement sociability findings light behaviour patterns user types fitness context patterns way gamification needs types discussion data user typologies gamification design copyright paper authors commons license attribution,3,59
aerospace industry point components design maturity performance improvements industries labor barriers entry developments tech phone companies cars gaming media professions aerospace candidate pool workforce threat climate change paradigm intelligence approach changes system architecture mission analysis performance metrics interest development field machine opportunity 10x discovery analysis development aerospace systems intelligence design engineering aerospace systems ideas research development effort opportunity mindset citizen scientists aerospace objective ideas design systems requirements citizen scientists gamification automation intelligence approaches data training models term applications results workshops industry academia agencies challenges machine learning american institute aeronautics astronautics inc rights,3,59
twins replicas counterparts knowledge processes data acquisition dissemination sources system cps operations dts assessment platform behavior security cps source data breaches attack surface attackers attacks security loopholes solutions gamification approach security level security analysts training environment intelligencemachine approaches idea security orchestration automation gamification approach security solutions lack transparency operations confidence decisions models security challenges article gamification approach twins gamification approach enigma security platform enigma gaming scenarios security train security analysts game players enigma humans attacker team agents defender team enigma security assessment model decisions shap values model attack vectors defender team agent shap values contribution features outcome attack vectors explanation security analysts security measures decisions validation viability enigma authors,3,59
users decisions systems machine users predictions models paper platform xai nonexperts context time series forecasting energy price predictions use case xai methods feature importance explanations platform gamification user engagement research objective effectiveness approaches perspective understanding machine learning models ieee,3,59
quality challenge practitioners health platforms gamification opportunities problem persistent health services role gamification health services context study research method machine learning experiment impact achievement gamification quality health services effects doctors personality image study application game strategy field healthcare deficiency effects gamification quality guidance doctors participation behavior quality health services ways allocation health resources consortium business rights,3,59
enables training machine models user data privacy approaches tradingsharing training data practice presence clients security concerns laws information design framework example blockchain solutions strength limitations scalability lack engagement clients article blockchainintheloop approach hyperledger fabric gamification component approach fusion application tasks enterpriselevel network ledger layers tracing levelup security settings approach datasets security enhancements process model performance ieee,3,59
paper gamification concept highquality datasets context activity recognition detection algorithm idea concept users feedback quality labeling activity rewards gamification element sensor data labels training data machine learning algorithm quality accuracy method results gamification elements quantity method quality accuracy data data labels detection algorithm accuracy work icst institute computer sciences informatics telecommunications engineering,3,59
gamification practice play intelligence methods machine learning industries variety applications gamification teams roles knowledge understanding relationships members paper escape room experience variety intelligence tests teammembers communication machine learning methods reinforcement learning agents behaviour rooms tests agents elements ocean personality traits model openness conscientiousness neuroticism number gameplay data analysis patterns effect performance stability time tasks findings performance metrics escape room model play styles ocean personality trait model approach teams behaviour performance authors rights,3,59
machine learning area data science rise abstractness complexity desire explainability work explainability correlation clustering goals data science tasks knowledge data wellknown tools foldit geotime gamification approach tasks machines humans knowledge players tasks game users correlations datasets subspaces data task number subspaces regards number dimensions points pattern eye users overview projections users subspace lines data offset points line line users projections time scoring system incentive examination density cluster minimum spanning tree size offset coverage step user mechanisms differences correlation subspace algorithms comprehensibility springer nature switzerland,3,59
results doubleblind phase control trial custom reality environment rehabilitation stroke stroke damage brain problem memory task brain extent stroke patients activities living application virtue activities reality gamification techniques motivation patients level difficulty task increase time design implementation virtue results trial stroke unit hospital safety acceptability virtue benefits treatment stroke survivors impairment reduction time hospital patients treatment ieee,3,59
transformation sectors deployment technologies businesses discussions use technologies effectiveness technologies study attempts ways gamification systems use machine algorithms challenges dueto convergence journal articles web articles use cases intelligence machine learning gamification use cases applications sectors ecommerce edtech medicine study researchers technology developers businesses dis ways intelligence gamification benefits ieee,3,59
business gamification popularity poland years companies ones implementation solutions technology use solutions machine learning gamification project aim article stages implementation business gamification models differences results business practice poland end review subject terms methodologies implementation gamification solutions stage scenario interviews companies gamification projects business result research practice business gamification poland background methodologies literature identification differences implementation stages theory practice implementations companies interviews attempt differences type solution criterion author,3,59
work approach information wisdom crowd machine learning process generation apartment units flexibility synthesis process generation apartment units synthesis process units suitability classification opinions participants units definition suitability work crowdsourcing method order number participants classification gaming elements crowdsourcing process participants education research computer design europe rights,3,59
advances machine aml problems intervention humanintheloop problems paper insights intelligence intelligence machine learning approach iml purpose colony optimization aco framework fosters approaches agents loop unification intelligence interaction skills power system aco framework case study salesman problem implications domain aco fact algorithms intelligence problems evaluation gamification snakelike game snakesman system mmas background mmasalgorithm way human ants snake graph time ant pheromone value edge manipulation impact ants behavior probability edge results humans tour graphs impact path mmas experiment case intelligence machine intelligence knowledge study kind authors,3,59
emotion recognition models sets data annotation problem method emotion data labeling effort humans game facegame players image face emotion round player data set features landmarks emotion label target expression approach machine training process facegame experiment contributions field computing data collection approach variation expressions emotion variations players expressions abilities accuracy data wellknown emotion datasets emotion recognition models language prescription method facegame approach explainability emotion recognition model improvements emotion perception expression skills players game ieee,3,59
obesity challenge health position paper technology prevention obesity stop project integrates technology chatbot gamification data fusion machine aim feedback obesity weight implication data data protection regulation gdpr machine learning role data fusion analytics design weight ieee,3,59
